id,host_id,neighbourhood_group,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day,last_review_dayofyear,last_review_dayofweek
10449807,2981910,Manhattan,40.73466,-73.99539,Entire home/apt,1,0,0.69,1,0,2019,7,1,2,2
1178389,6447462,Manhattan,40.8506,-73.94023,Entire home/apt,6,19,0.26,1,188,2017,7,24,205,2
23838063,149073048,Brooklyn,40.69837,-73.93045,Private room,5,34,2.31,1,102,2019,6,30,181,1
14415799,48113730,Brooklyn,40.70749,-73.93916,Entire home/apt,2,2,0.06,1,0,2016,10,16,290,1
6555262,14098887,Queens,40.70503,-73.91433,Private room,2,0,0.03,1,0,2015,9,8,284,1
33782555,18885469,Manhattan,40.71483,-73.99801,Shared room,1,7,2.92,1,58,2019,6,26,177,4
6669443,8816218,Brooklyn,40.71162,-73.94551,Private room,1,0,0.02,1,0,2015,1,17,220,2
36306938,23191854,Brooklyn,40.61231,-73.95448,Private room,2,0,1,1,7,2019,6,16,48,1
12814195,545273,Brooklyn,40.71728,-73.94345,Private room,5,0,0.03,1,0,2016,9,1,2,1
10100799,9250639,Brooklyn,40.67622,-73.97953,Entire home/apt,2,7,0.2,1,0,2019,6,30,181,1
18213425,125746559,Brooklyn,40.65953,-73.94475,Entire home/apt,3,19,0.81,1,0,2018,8,20,232,2
22307800,163077876,Brooklyn,40.58486,-73.99004,Entire home/apt,2,42,2.33,1,35,2019,6,19,170,4
25350617,1180925,Brooklyn,40.69492,-73.97154,Private room,2,12,0.97,3,89,2019,6,7,158,6
31760403,67746251,Queens,40.68069,-73.8494,Private room,1,42,8.03,4,32,2019,6,28,179,6
29672090,1887283,Manhattan,40.71415,-73.99255,Entire home/apt,2,8,1.07,1,0,2019,6,24,175,2
8672280,4068325,Manhattan,40.75594,-73.96874,Entire home/apt,3,8,0.19,1,1,2019,6,16,167,1
4165278,4403262,Manhattan,40.71906,-73.98433,Private room,9,5,0.09,1,0,2016,8,15,228,2
19889906,140798168,Queens,40.76988,-73.9211,Entire home/apt,6,0,0.11,1,0,2017,8,12,190,5
1745430,7503643,Brooklyn,40.72569,-73.94054,Entire home/apt,30,6,0.1,52,310,2019,6,10,161,2
16212767,6082745,Manhattan,40.78361,-73.9732,Entire home/apt,10,14,0.52,1,11,2019,4,24,114,4
32814524,1888085,Queens,40.76452,-73.92536,Shared room,1,11,2.66,1,11,2019,4,30,120,3
4173751,9197440,Manhattan,40.81619,-73.94003,Entire home/apt,3,5,0.09,1,0,2016,7,2,184,7
28340136,213111794,Queens,40.68013,-73.74734,Private room,1,3,0.33,4,180,2019,7,7,188,1
22535503,6298158,Brooklyn,40.68098,-73.92706,Private room,1,12,0.69,1,358,2019,7,1,182,2
1635672,8687489,Manhattan,40.7338,-74.00328,Entire home/apt,7,40,0.57,1,0,2017,11,25,329,7
16244096,106197850,Brooklyn,40.64318,-74.01329,Private room,7,1,0.04,1,0,2017,5,21,141,1
36077537,10287553,Manhattan,40.76843,-73.9894,Private room,2,1,1,1,27,2019,7,1,182,2
13377443,76004481,Brooklyn,40.65251,-73.96325,Private room,4,1,0.04,1,0,2017,7,3,184,2
13186007,2084322,Queens,40.76832,-73.9346,Entire home/apt,3,94,2.52,1,1,2019,5,27,147,2
44229,181376,Brooklyn,40.69098,-73.97113,Private room,2,213,2,2,321,2019,6,24,175,2
66741,327673,Brooklyn,40.67732,-73.98225,Entire home/apt,2,214,2.08,2,263,2019,6,23,174,1
22275245,162784512,Manhattan,40.70875,-74.00183,Private room,30,32,1.73,1,0,2018,11,8,312,5
375249,1887999,Staten Island,40.62109,-74.16534,Private room,3,80,0.92,1,226,2019,5,26,146,1
10941762,56732131,Manhattan,40.72221,-73.99284,Entire home/apt,2,57,1.41,1,279,2019,6,28,179,6
6957328,330976,Brooklyn,40.70875,-73.95364,Private room,1,20,0.42,1,0,2018,7,27,208,6
34774436,210799153,Brooklyn,40.68718,-73.94797,Private room,1,2,1.58,3,0,2019,6,17,168,2
14452731,8616291,Manhattan,40.82112,-73.95112,Private room,5,80,2.26,2,0,2019,6,20,171,5
30246815,1850477,Brooklyn,40.67728,-73.94536,Entire home/apt,3,0,0.4,2,0,2019,1,6,159,2
25372531,190981544,Brooklyn,40.68645,-73.92975,Private room,1,5,1.61,6,256,2019,6,23,174,1
22779542,156158778,Brooklyn,40.67862,-73.97065,Entire home/apt,1,0,0.02,12,14,2018,4,9,344,2
30439949,135060128,Brooklyn,40.70809,-73.94913,Entire home/apt,1,35,4.79,2,269,2019,7,4,185,5
29146109,28260018,Queens,40.77612,-73.90456,Private room,1,63,7.08,1,80,2019,6,17,168,2
6370889,33198779,Manhattan,40.84064,-73.93727,Private room,1,4,0.08,1,0,2015,10,31,304,7
1945115,10061009,Manhattan,40.80419,-73.95582,Private room,4,57,2.67,1,74,2019,7,5,186,6
13955165,4979473,Brooklyn,40.67959,-73.96486,Entire home/apt,3,0,0.03,1,0,2016,5,30,301,6
20659540,2807926,Brooklyn,40.67984,-73.9703,Private room,2,0,0.13,1,0,2018,3,20,314,1
29880984,145981682,Manhattan,40.76,-73.98377,Entire home/apt,1,5,0.69,3,272,2019,2,8,39,6
4129212,11555258,Brooklyn,40.64449,-73.97238,Private room,3,8,0.14,2,14,2016,7,25,207,2
15620823,23744032,Manhattan,40.7365,-73.99751,Entire home/apt,2,157,4.8,1,16,2019,6,26,177,4
