id,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day,last_review_dayofyear,last_review_dayofweek
9901706,1904415,Manhattan,40.77789,-73.97701,Entire home/apt,180,1,0,0.03,1,0,2016,5,19,232,6
299531,1220404,Brooklyn,40.66795,-73.89232,Entire home/apt,100,1,119,1.39,2,289,2019,6,30,181,1
2461439,12586492,Manhattan,40.72007,-73.98946,Entire home/apt,133,14,177,2.82,2,221,2019,5,3,123,6
127387,23276,Brooklyn,40.66862,-73.9926,Entire home/apt,260,30,3,0.03,1,316,2014,8,4,216,2
629315,2397437,Brooklyn,40.68935,-73.9695,Entire home/apt,120,3,22,0.27,1,189,2015,10,28,301,4
4607923,1113080,Brooklyn,40.64722,-74.00475,Private room,55,7,98,1.75,3,312,2019,5,22,142,4
12720048,68787921,Brooklyn,40.68807,-73.92348,Private room,47,3,32,0.91,4,258,2019,5,12,132,1
4037379,5642757,Brooklyn,40.62918,-73.96348,Entire home/apt,100,3,9,0.16,1,0,2016,4,5,96,3
9396442,26347594,Manhattan,40.77772,-73.98514,Private room,108,1,11,0.25,1,0,2017,12,8,342,6
763527,3604585,Brooklyn,40.64073,-73.95832,Private room,70,3,169,3.07,3,188,2019,7,1,182,2
32520381,33159631,Brooklyn,40.67797,-73.99969,Entire home/apt,199,2,17,5.05,1,31,2019,7,3,184,4
31014208,8525142,Manhattan,40.72391,-73.97698,Entire home/apt,520,3,7,1.14,1,80,2019,6,30,181,1
21265363,14552154,Manhattan,40.74517,-73.98484,Private room,231,2,12,0.65,4,165,2019,6,15,166,7
22656623,4993038,Brooklyn,40.71082,-73.96128,Entire home/apt,300,1,1,0.06,1,0,2018,1,20,20,7
19193139,133923404,Manhattan,40.82669,-73.94827,Entire home/apt,95,5,9,0.38,1,0,2019,5,25,145,7
17088382,420399,Manhattan,40.77158,-73.95786,Private room,80,5,3,0.15,2,50,2019,6,20,171,5
22797978,168465501,Manhattan,40.7504,-73.97759,Entire home/apt,200,30,3,0.28,4,311,2019,5,31,151,6
31861155,7261749,Brooklyn,40.65719,-73.95421,Private room,30,4,2,0.81,1,6,2019,7,3,184,4
21875621,125492013,Queens,40.7418,-73.8861,Private room,40,5,0,0.11,2,0,2018,2,2,182,6
35728640,268468020,Brooklyn,40.64262,-73.93621,Private room,101,1,0,1,2,116,2019,6,30,181,1
2821294,5986790,Manhattan,40.83418,-73.94274,Private room,39,30,18,0.3,6,168,2019,5,27,147,2
27650553,7780845,Brooklyn,40.70133,-73.91726,Private room,65,2,3,0.28,3,28,2019,6,23,174,1
16056317,104568045,Bronx,40.85018,-73.9167,Private room,55,2,0,0.58,1,364,2019,2,30,181,3
1428648,7683052,Manhattan,40.72998,-73.99999,Private room,110,3,7,0.12,1,0,2018,12,10,344,2
15087285,77778146,Brooklyn,40.62979,-73.94431,Private room,85,1,2,0.09,8,189,2017,9,17,260,1
26304486,20126746,Brooklyn,40.72724,-73.95401,Entire home/apt,195,3,11,0.95,1,0,2019,6,9,160,1
443646,2204078,Manhattan,40.78911,-73.97396,Entire home/apt,395,14,39,0.45,1,50,2019,5,16,136,5
5105632,15321576,Brooklyn,40.67467,-73.96557,Private room,60,1,0,0.02,1,0,2016,1,1,122,4
23482476,15562068,Brooklyn,40.7046,-73.92198,Private room,55,1,18,1.11,1,19,2019,7,1,182,2
22321252,138347327,Manhattan,40.76684,-73.98539,Private room,87,1,2,0.13,1,0,2019,3,18,77,2
20655740,6655660,Manhattan,40.71798,-73.98418,Entire home/apt,275,2,17,0.76,1,171,2019,5,22,142,4
31968550,196935380,Brooklyn,40.63886,-73.95228,Private room,80,2,0,0.37,1,88,2019,6,2,2,2
13539571,12377856,Brooklyn,40.70705,-73.94326,Private room,80,2,0,0.08,1,0,2018,5,23,275,1
33497909,252432969,Manhattan,40.7545,-73.97067,Entire home/apt,260,1,14,4.47,1,139,2019,6,23,174,1
772362,2631234,Manhattan,40.76078,-73.99076,Entire home/apt,165,3,276,3.44,1,146,2019,7,6,187,7
35466919,59553953,Queens,40.76117,-73.93038,Entire home/apt,149,4,0,1,1,39,2019,6,2,188,5
24726458,15640230,Brooklyn,40.66433,-73.93438,Private room,45,13,2,0.15,4,354,2018,7,31,212,3
24635041,186178785,Brooklyn,40.69658,-73.90773,Private room,55,14,1,0.1,1,0,2018,8,31,243,6
34403759,50052968,Brooklyn,40.68447,-73.9396,Private room,42,2,9,4.91,3,64,2019,7,1,182,2
8235820,13716326,Brooklyn,40.70828,-73.95246,Private room,77,7,1,0.02,1,0,2015,9,18,261,6
24432685,122498535,Brooklyn,40.655,-73.92764,Private room,40,30,3,0.23,3,288,2019,6,21,172,6
3840324,10366196,Brooklyn,40.70859,-73.94639,Entire home/apt,120,5,18,0.32,1,188,2019,2,26,57,3
17172375,29240443,Manhattan,40.76106,-73.98627,Entire home/apt,180,3,3,0.11,1,0,2017,5,21,141,1
20482151,10547661,Manhattan,40.76557,-73.98949,Entire home/apt,200,3,97,4.4,1,60,2019,6,23,174,1
25264929,190878053,Manhattan,40.8681,-73.92434,Private room,149,1,31,2.31,1,270,2019,5,22,142,4
20827821,148544231,Manhattan,40.80671,-73.95382,Private room,53,3,5,0.23,2,89,2018,5,8,128,3
31946864,239519185,Manhattan,40.76295,-73.98866,Private room,70,1,30,6.08,2,193,2019,6,10,161,2
2260042,11503864,Queens,40.76427,-73.91562,Shared room,65,1,0,0.03,1,0,2016,1,23,76,4
21984189,160520133,Manhattan,40.75288,-73.98526,Entire home/apt,250,7,11,0.58,1,265,2019,7,3,184,4
25428573,191765199,Manhattan,40.83265,-73.94012,Entire home/apt,120,1,57,4.25,6,154,2019,6,23,174,1
9937667,50760546,Manhattan,40.76542,-73.97844,Entire home/apt,249,30,5,0.12,31,125,2019,2,15,46,6
33964812,10714783,Manhattan,40.70824,-74.00476,Entire home/apt,200,2,4,2.45,1,38,2019,7,2,183,3
132570,651390,Manhattan,40.73215,-74.00922,Entire home/apt,170,4,24,0.25,1,0,2017,12,26,360,3
15734642,8076786,Brooklyn,40.65888,-74.00044,Private room,89,1,2,0.1,3,281,2019,6,25,176,3
32549039,13196439,Manhattan,40.70436,-74.00927,Entire home/apt,500,5,16,3.78,1,298,2019,6,22,173,7
13720750,80061565,Bronx,40.8355,-73.83729,Entire home/apt,71,2,118,3.24,1,34,2019,7,1,182,2
22267382,1910170,Brooklyn,40.68855,-73.97883,Entire home/apt,145,5,6,0.32,1,0,2019,1,1,1,3
18305741,72603148,Staten Island,40.63464,-74.07842,Private room,55,1,13,0.48,3,362,2019,3,20,79,4
34937986,263053182,Queens,40.72718,-73.86541,Private room,55,1,3,2.57,10,120,2019,6,19,170,4
20927619,139357580,Queens,40.77156,-73.90521,Private room,60,1,48,2.27,8,128,2019,1,3,3,5
12834386,1216362,Brooklyn,40.65424,-73.96008,Private room,73,1,43,1.37,4,188,2018,11,1,305,5
12563738,10312167,Manhattan,40.80276,-73.94976,Entire home/apt,376,28,53,1.4,2,310,2019,3,3,62,1
12763385,9784153,Brooklyn,40.68752,-73.9618,Private room,99,3,0,0.03,1,0,2016,11,5,157,2
19524083,137068370,Manhattan,40.77969,-73.98747,Entire home/apt,200,2,33,1.36,1,250,2019,6,9,160,1
31906094,187487947,Brooklyn,40.73202,-73.95595,Entire home/apt,68,1,20,3.82,6,0,2019,6,1,152,7
22130055,59089796,Queens,40.70248,-73.81937,Entire home/apt,125,2,31,1.65,2,62,2019,6,25,176,3
16969156,113460991,Manhattan,40.75784,-73.96088,Entire home/apt,175,14,8,0.28,1,310,2019,1,5,5,7
13881521,82154865,Manhattan,40.78935,-73.97462,Entire home/apt,95,30,0,0.45,1,67,2019,1,20,110,7
22232269,145993199,Brooklyn,40.63436,-73.96126,Entire home/apt,90,2,13,0.7,1,5,2019,4,7,97,1
18840866,19424541,Manhattan,40.76749,-73.96246,Private room,190,1,15,0.68,2,63,2019,5,24,144,6
25546222,192741854,Brooklyn,40.68408,-73.93383,Entire home/apt,215,2,49,3.95,2,218,2019,6,21,172,6
4900034,14289427,Manhattan,40.71579,-73.99253,Private room,120,5,8,0.15,3,318,2018,11,21,325,4
26358423,19961365,Manhattan,40.78875,-73.9476,Private room,85,1,39,3.28,1,78,2019,6,23,174,1
34940756,259630588,Brooklyn,40.71867,-73.94884,Private room,149,2,1,0.68,2,0,2019,5,26,146,1
34517666,260577152,Manhattan,40.74476,-73.98551,Private room,350,1,0,1,10,327,2019,6,12,167,1
32520602,214863971,Brooklyn,40.62063,-73.9244,Private room,40,2,10,2.34,2,43,2019,7,6,187,7
31405999,107434423,Manhattan,40.70491,-74.00978,Entire home/apt,271,30,0,1.55,232,331,2018,12,6,287,1
19907609,131647128,Manhattan,40.77476,-73.98947,Entire home/apt,320,30,8,0.38,25,261,2019,6,28,179,6
6598376,8838164,Brooklyn,40.69224,-73.95865,Private room,45,14,0,0.04,1,0,2016,2,15,288,4
9824682,19103161,Brooklyn,40.72691,-73.94802,Entire home/apt,150,1,0,0.02,1,0,2016,1,21,84,1
20805520,149184623,Manhattan,40.83636,-73.94487,Private room,65,2,81,3.8,1,11,2019,7,6,187,7
986727,5414067,Manhattan,40.80626,-73.94009,Entire home/apt,165,3,281,3.68,2,177,2019,6,21,172,6
33853889,45776423,Manhattan,40.85719,-73.93048,Private room,35,3,3,3,1,5,2019,6,14,165,6
2026434,5772472,Brooklyn,40.72,-73.95433,Entire home/apt,500,5,0,0.01,1,0,2016,3,17,46,2
21922071,47326818,Brooklyn,40.65177,-73.96417,Private room,37,2,3,0.16,1,0,2018,1,25,25,5
22142636,40875021,Manhattan,40.79315,-73.93385,Entire home/apt,150,1,14,0.76,3,353,2019,4,18,108,5
8846634,23521722,Manhattan,40.76767,-73.98783,Shared room,64,2,0,0.02,1,0,2015,12,1,1,7
19853102,131777975,Brooklyn,40.66293,-73.91729,Private room,90,4,4,0.2,3,89,2019,1,1,1,3
29965839,54689007,Manhattan,40.70903,-74.00596,Entire home/apt,165,20,0,0.26,3,53,2019,3,6,163,6
20895982,37904015,Manhattan,40.72413,-73.98216,Private room,83,2,13,0.61,1,0,2018,7,27,208,6
12774144,65621401,Queens,40.77822,-73.90895,Private room,49,1,7,0.18,1,341,2019,6,7,158,6
30496077,228878380,Manhattan,40.78549,-73.97535,Entire home/apt,200,5,1,0.16,1,0,2018,12,31,365,2
2238435,11430909,Manhattan,40.81085,-73.94768,Entire home/apt,100,1,0,0.03,1,0,2016,8,31,273,5
28540171,7147060,Manhattan,40.80212,-73.95732,Private room,95,2,5,1.9,2,90,2019,6,21,172,6
7227235,1639755,Brooklyn,40.61985,-74.03255,Private room,55,2,56,1.23,2,306,2019,6,28,179,6
13282284,42682752,Brooklyn,40.68868,-73.99206,Private room,65,2,17,0.45,3,0,2018,8,5,217,1
35714753,46662635,Queens,40.70477,-73.80335,Entire home/apt,44,1,3,3,1,330,2019,7,3,184,4
27585752,33767755,Brooklyn,40.73357,-73.95908,Entire home/apt,136,2,13,1.32,1,3,2019,7,2,183,3
36200778,272127488,Brooklyn,40.69048,-73.92258,Private room,55,1,0,1,2,276,2019,7,7,182,1
11309973,2856748,Manhattan,40.73157,-73.98792,Entire home/apt,278,30,0,0.04,49,339,2016,8,1,305,6
33311237,193954973,Brooklyn,40.71547,-73.95147,Entire home/apt,165,3,5,1.97,3,272,2019,7,3,184,4
20689395,5402500,Brooklyn,40.68541,-73.96188,Entire home/apt,114,12,27,1.19,1,13,2019,5,7,127,3
33468225,5421086,Manhattan,40.82254,-73.9501,Entire home/apt,110,30,0,1,1,102,2019,5,18,170,1
